id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,i7QblIGs
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,Pf85sTJU
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,nwrm6LD7
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,RAxvmjk5
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,1LTQmHLa
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,ChshS8bY
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,3XoAxyBX
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,pFY5DyQc
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,YC5t9JIE
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,bFb0nO3k
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,M5WIxNSc
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,zBGerPMo
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,m4GlxcHr
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,t0NOCUNc
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,qYFCWYEd
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,WkreVoOE
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,TEgvEv0H
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,sQAZIoPU
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,T6EDNFhG
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,yMwsvbPD
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,EzD1Vtki
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,Iyu7VVHu
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,lT5TVjSG
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,9gH4hQkF
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,uyKemxeV
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,JyNiK7Sv
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,wW3mDZ3S
