id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,uwF0pZcl
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,u87sTIcX
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,543r13NJ
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,RnPNgOgY
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,HKxTh5WW
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,uRHlSrxA
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,tYkV7Q5Z
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,Wi8eOR2Q
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,QXHLn9h9
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,dNdFXuIv
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,pTPOEsbN
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,dAVNAu1x
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,VlUoMQvP
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,OJom65Di
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,3dGaWo41
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,Xd6dEbZS
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,VdDn7uVb
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,WjqNp7T1
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,Mx9mWq66
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,zjX4DqW2
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,VeBRhVMo
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,3gP7IZE4
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,zVdztfHA
